block,unit_price,Accessibility_Index,Lat,Lng,count
怡苑,77018.0,93.88,23.138495,113.330021,3
名雅苑,79473.0,92.95,23.135108,113.331143,1
天俊阁,53386.5,92.32,23.134002,113.329772,2
侨景大厦,60644.0,92.14,23.138868,113.331044,1
隆德大厦,58596.7,91.75,23.133883,113.330425,7
天河新作,100000.0,90.31,23.135563,113.332686,1
侨怡苑,69497.0,88.78,23.140683,113.330333,3
63中学校宿舍,19831.0,88.3,23.135738,113.333443,1
海校航专宿舍,24970.0,88.3,23.135738,113.333443,1
摩托车俱乐部宿舍,53341.0,88.3,23.135738,113.333443,1
心谊交警宿舍,35696.4,88.3,23.135738,113.333443,5
市粮宿舍,36454.0,88.3,23.135738,113.333443,1
区府宿舍,31661.5,88.3,23.135738,113.333443,2
信成小区,64688.0,87.31,23.139872,113.332371,1
广梅汕铁路大厦,52545.5,87.07,23.132809,113.332136,2
天河路,45255.2,86.76,23.132963,113.326433,4
正佳万豪金殿,55087.8,86.13,23.132861,113.326249,4
嘉宝华庭,63413.1,85.44,23.136249,113.334352,10
建丰大厦,48948.5,85.41,23.131435,113.330133,4
丰兴广场,62744.3,85.35,23.132929,113.333076,3
侨辉大厦,48334.0,84.69,23.131435,113.331132,2
龙口东路,56088.5,84.48,23.138514,113.334162,4
德荣小区,62917.3,84.45,23.138732,113.334071,29
怡侨大厦,59608.0,83.87,23.141243,113.332164,1
沙河远洋宿舍,34957.5,83.45,23.142385,113.329658,2
富丽花苑,50718.7,83.27,23.13082,113.328628,3
康平大厦,52994.5,82.24,23.131522,113.332862,2
荟雅苑,66346.3,81.88,23.142626,113.327306,20
贤人阁,57202.0,81.65,23.136553,113.33535,12
嘉怡园,22000.0,81.57,23.142177,113.331706,1
嘉怡苑,67237.1,81.49,23.142219,113.331666,19
天盛大厦,46966.1,81.23,23.130418,113.327766,8
枫丹雅筑,65931.8,80.24,23.13822,113.335375,10
远东大厦,64210.0,80.18,23.142913,113.330818,6
桥东大厦,36731.0,80.03,23.142923,113.330897,1
广梅汕宿舍,55656.4,79.28,23.136502,113.335936,5
天信大厦,48845.8,78.76,23.136977,113.336014,8
边检大院,65177.0,78.15,23.137735,113.336017,1
朝晖苑,66346.3,78.01,23.143028,113.331809,11
卫生院宿舍,51926.0,77.91,23.136662,113.33625,2
龙口花苑龙盛街,54299.3,77.65,23.140144,113.335108,7
龙口花苑龙腾街,61059.8,77.65,23.140144,113.335108,5
中信广场,52380.0,77.63,23.142317,113.324603,4
侨林苑二期,80280.9,77.43,23.143699,113.330347,16
中怡城市花园,76866.2,77.33,23.143786,113.327415,53
德欣小区,49478.3,76.77,23.131362,113.334863,10
天河东路,50807.0,76.51,23.130486,113.333379,5
侨林苑一期,72014.2,76.42,23.144074,113.32954,10
小北路小石后街,59333.0,76.29,23.142582,113.324419,1
海运小区,59082.0,75.89,23.13098,113.32414,2
保利中辰广场,77066.4,75.72,23.134568,113.336674,12
天誉华庭,70651.8,75.25,23.138654,113.336416,26
尚雅苑黄埔大道西,55051.0,74.65,23.128705,113.331947,1
尚雅苑尚雅街,52433.0,74.65,23.128705,113.331947,1
耀星华庭,83168.0,74.28,23.143951,113.331709,10
万菱汇广场,61334.0,74.01,23.13202,113.322679,4
侨林苑三期,86925.1,73.92,23.144472,113.3304,21
龙口花苑希尔顿阳光,71862.8,73.67,23.141222,113.335373,12
紫荆小区,64794.6,73.64,23.144621,113.327297,8
南雅苑体育东横街,54230.0,73.63,23.128643,113.33256,8
金泽大厦,42860.0,72.8,23.127838,113.328641,4
体育西路,52104.7,72.54,23.132216,113.322119,3
天成大厦,56619.9,72.49,23.136765,113.337491,14
国美电器楼上,36216.0,72.3,23.133024,113.33712,1
广信牡丹阁,45083.8,72.04,23.127807,113.327639,4
润寿小区,49574.0,71.85,23.143719,113.333196,1
南油宿舍,34266.7,71.82,23.131602,113.336585,3
龙口小区,55151.0,71.76,23.135187,113.337702,8
体育东路体育西横街,56141.0,71.74,23.128792,113.325134,1
广信红棉阁,46096.3,71.47,23.127749,113.327239,6
龙苑大厦,47647.6,71.06,23.134596,113.337807,8
天晖阁,58378.5,71.06,23.128787,113.334241,2
帝景苑,61113.5,71.0,23.140549,113.336497,35
富力天河华庭,85995.0,70.83,23.145251,113.329871,6
六运小区,54288.4,70.65,23.130122,113.323073,37
雍晟岭南雅苑,20465.0,70.05,23.127,113.329437,1
碧桂园中新首府,15984.9,69.85,23.13148,113.321757,9
海欣街海关宿舍,45672.7,69.54,23.129675,113.335878,3
广信惠兰阁,51744.5,69.53,23.127429,113.332589,2
朝阳西路百乐大街,18550.0,69.36,23.13221,113.321194,1
祥龙花园,48382.8,68.87,23.141557,113.321367,8
林和东公安宿舍,63808.0,68.56,23.145792,113.327515,3
恒达苑,67175.3,67.95,23.145973,113.328892,6
体育西路天河北街,58065.0,67.77,23.139317,113.320126,1
红盾大厦,47284.0,67.15,23.131188,113.321102,4
体育西路天河街,55071.5,66.79,23.131226,113.320967,2
龙口东档案馆房改,68000.0,66.69,23.139603,113.33799,2
润华大厦,56471.0,66.64,23.143727,113.334911,1
德埔小区,52290.8,65.38,23.127439,113.335032,4
天誉花园,56836.7,65.17,23.146323,113.326252,37
珠委大院,57864.0,64.74,23.146135,113.331508,3
金海花园,69417.6,64.59,23.140472,113.33805,22
育蕾小区育蕾二街,52837.9,64.55,23.128645,113.322195,8
嘉尚国际公寓,86739.0,64.47,23.146553,113.330168,21
育蕾小区黄埔大道西,49180.0,64.44,23.128664,113.322132,2
育蕾小区体育西路,49059.0,64.44,23.128664,113.322132,2
育蕾小区育蕾三街,48949.0,64.44,23.128664,113.322132,4
百脑汇科技大厦,38819.6,64.38,23.134234,113.339383,23
骏汇大厦,55386.4,64.25,23.129743,113.321137,8
东洲大厦,49407.7,63.53,23.130405,113.320428,3
远洋小区,61299.5,63.21,23.134823,113.318659,2
龙口东路龙口横街,48612.0,63.12,23.136529,113.339661,1
金达苑,60939.5,63.1,23.144036,113.335614,2
东园小区,35424.0,63.09,23.135769,113.318538,7
光华大厦,52291.0,62.89,23.14066,113.319361,1
南方电网宿舍,48317.0,62.68,23.132887,113.318964,2
协和新世界,76920.8,61.99,23.141904,113.337788,5
御华苑,56074.5,61.89,23.139545,113.33912,8
金润大厦,64602.0,61.58,23.14402,113.336074,1
侨苑小区(天河区),49841.0,61.46,23.139836,113.318679,1
尚河居,60992.0,61.17,23.130967,113.319313,11
芳草园,78256.2,60.92,23.142858,113.337334,5
峻林,92788.4,60.85,23.147517,113.32766,8
岭南新世界,44847.5,60.82,23.141818,113.338137,116
亿泉尚园,85752.0,60.73,23.13879,113.318191,1
聚侨苑,49960.3,60.44,23.130433,113.319361,3
龙珠楼,47719.7,60.44,23.136723,113.340268,3
中铁盛德国际,50534.4,60.36,23.127823,113.337591,5
天晟明苑,47821.3,60.16,23.128722,113.338397,9
天逸名都,72075.8,59.94,23.139381,113.339642,27
南雅苑黄埔大道西,55524.8,59.76,23.126872,113.336498,4
林和东路沾益直街,59106.6,59.71,23.147663,113.3291,5
华苑大厦,50894.0,59.11,23.134852,113.317471,8
育兰小区黄埔大道西路,78792.0,58.88,23.128145,113.320388,2
广东高等教育出版社,70313.0,58.73,23.145617,113.321748,1
省工艺大院,46619.0,58.54,23.136203,113.317244,1
天荣小区,58253.0,58.25,23.129304,113.319272,1
林和东小区,63201.2,57.99,23.148155,113.328841,8
水利电力学院,46375.0,57.84,23.145697,113.335228,2
恒城大厦,40847.6,57.62,23.128515,113.319582,76
恒康阁,50210.5,57.54,23.14689,113.323029,11
广和路广和一街,45423.5,57.0,23.132816,113.317174,2
瑞达大厦,45018.0,56.91,23.128794,113.319099,2
南粤阁,49855.1,56.75,23.146129,113.321607,9
煤气公司宿舍(天河区),62817.8,56.6,23.140034,113.340162,6
广利路,44935.0,56.47,23.130286,113.318008,6
交委宿舍,30556.0,56.41,23.141532,113.339409,2
尚东君御雅苑,110006.9,56.14,23.123497,113.334078,28
天寿大厦,72467.5,55.84,23.147733,113.332494,2
广州体育学院,61753.0,55.68,23.143591,113.31894,1
领峰园,85611.8,54.93,23.121826,113.328838,21
保利心语花园,89544.0,54.65,23.121695,113.329573,26
华标广场,80030.0,54.4,23.141838,113.339729,1
中山三院宿舍,55000.0,54.11,23.133106,113.342037,1
文苑花园(天河区),54608.0,53.98,23.145245,113.337004,3
龙口中路,49707.1,53.95,23.139585,113.341018,9
粤海丽江花园,77644.8,53.88,23.123113,113.335118,6
瑞安·创逸,73616.6,53.71,23.14072,113.340546,23
碧桂园凤凰城凤凰岛,25496.8,53.67,23.124901,113.337657,5
富景花苑,38984.0,53.32,23.130565,113.3166,2
中海Z晖华庭,88177.8,53.22,23.121777,113.33298,4
中海_晖华庭,83438.8,53.22,23.121777,113.33298,24
太阳广场,56298.8,53.19,23.143748,113.338658,4
司法局宿舍(天河区),55355.5,53.15,23.13949,113.341263,2
丽江花园棕榈滩,44294.0,52.86,23.123079,113.33579,4
冠军小区,42415.0,52.84,23.134353,113.34247,3
塘边大街一巷2号,21035.0,52.79,23.131426,113.342171,1
侨兴苑,37893.6,52.44,23.126852,113.340036,9
保利中汇广场,38429.4,52.32,23.148578,113.323411,13
华升大厦,25070.0,51.97,23.13661,113.34246,1
汇峰苑,89009.3,51.79,23.120398,113.330056,41
东河苑,48799.0,51.64,23.13957,113.315686,2
河源大厦,55556.0,51.25,23.145417,113.318872,1
隽峰苑,90095.5,50.93,23.120293,113.331769,33
三育路,57165.0,50.92,23.129272,113.300214,1
林和西路,50105.0,50.62,23.149221,113.323761,1
穗园小区,59715.0,50.43,23.144938,113.338381,3
农林东路22号大院,61806.5,50.23,23.12798,113.300052,2
朱美拉公寓,80486.8,50.11,23.119487,113.328707,36
石牌东路,39883.5,49.77,23.130622,113.343084,8
方圆月岛,98601.2,49.66,23.11929,113.329985,26
嘉诚国际公寓,51540.6,49.6,23.138196,113.31449,23
鸿翔大厦,70022.5,49.25,23.14184,113.341093,2
银兰苑,45954.5,48.93,23.130736,113.34346,4
福今路,53969.2,48.38,23.127999,113.302314,5
星汇园,90461.8,48.21,23.123009,113.319876,4
誉峰,109290.0,47.97,23.123048,113.338826,1
