block,Lat,Lng,unit_price,accessibility_index,dist_subway,dist_school,dist_public
华景新城怡翠居 ,23.13624558,113.3575101,43321.0,35.7,147.99799246432883,1059.119772699435,1541.2856422144837
中南海小区 ,23.17338216,113.3307233,21831.0,0.2,1487.7736765562843,2488.1467073041113,3424.2458238405575
天健上城 ,23.14087542,113.3939027,52346.0,0.0,1999.1921894100412,3794.5086185231385,4742.519243596391
广信鸿景大厦 ,23.11662459,113.3145665,46147.0,41.2,736.3485994605295,847.798088011861,627.6486473549527
骏景花园 ,23.12278653,113.3850003,44865.0,13.3,1125.102230848132,2599.1197117429724,4643.6108668491615
富力天朗明居S区 ,23.12591262,113.3922749,43590.0,20.0,499.99996444124355,3302.6236621415705,5098.384734816981
翰林苑(天河) ,23.16807653,113.3602784,44677.0,9.6,1144.0412712872755,940.1209014778657,2658.6140364572702
广信春兰花园 ,23.1843452,113.3267128,39208.0,0.0,2374.195185371856,3072.5354643419364,4688.263024043621
同和云苑新村 ,23.19350552,113.324576,22245.0,0.0,3240.033671639364,3728.946474458514,5698.675397516832
马赛国际公寓 ,23.1242476,113.3511566,41287.0,38.1,721.9150271552888,954.7111954382735,1429.907458736099
怡园小区 ,23.21197339,113.3001621,34286.0,0.0,6446.006789987795,6951.049936523921,8723.98540465674
五羊小区 ,23.12213029,113.3703792,43634.0,43.4,493.73162308445944,1191.5310777211716,3294.697009385273
嘉尚国际公寓 ,23.14658444,113.3303341,78788.0,53.8,530.0486010252446,179.4627749048914,1806.8200924255132
美好居 ,23.12527154,113.393461,44594.0,22.8,362.2318983522573,3427.1011037238572,5238.877742137274
白云畔山花园 ,23.18213593,113.3177874,37648.0,0.0,3040.8232634071724,3885.7339019600445,4980.347962063173
金迪大厦 ,23.12802485,113.311809,56739.0,19.2,1061.8744179707026,1371.970603653641,996.3683124649335
骏景花园 ,23.12278653,113.3850003,47558.0,13.3,1125.102230848132,2599.1197117429724,4643.6108668491615
星汇云锦 ,23.12189412,113.3166379,75461.0,45.6,554.4377468989226,587.4044977172535,886.938628001943
金迪城市花园 ,23.12630131,113.3140405,32642.0,23.0,968.8279489371157,1073.994142894136,882.858107885197
名门大厦 ,23.11906311,113.3159139,52543.0,49.2,540.7968039807268,631.0511136127061,688.9586029801961
朝晖苑 ,23.14300938,113.3317961,64681.0,48.3,672.4986435565717,287.610022448271,1484.0195514834209
冠城大厦 ,23.11824849,113.309642,46400.0,16.6,1186.7073749717886,1278.7086607280778,1159.8506955757298
天河山庄 ,23.15865593,113.3128145,25882.0,1.9,1480.0297232403325,2322.2745838114784,3187.0518966745185
